TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
905091,0,0.428133382,0.761726059,0.190841417,1,0.02937126,0.693198218,0.458734825,0.401269224,0.541686877,0.350822422,0,0.53508406,0.312202258,1,0.423042765,0.564125305,0.792570303,0.234449826,0.584281308,0.599157607,0.536581248,0.97511436,0.139605709,0.915173656
905111,0.00125341,0.429061195,0.761588634,0.190876121,0.998599338,0.028444801,0.695929312,0.456139681,0.405394203,0.540605688,0.353855832,0.001532457,0.538344249,0.318579091,0.995788795,0.424254772,0.563974347,0.792851007,0.232548771,0.581330043,0.601313933,0.542121587,0.978389767,0.14226362,0.917675908
905126,0.00302293,0.430299743,0.761567492,0.19108435,0.998406144,0.025940857,0.698611896,0.453240861,0.410574009,0.537995283,0.357527608,0.002969135,0.541377081,0.325116198,0.991583146,0.423721907,0.562290221,0.793510664,0.22946182,0.578368908,0.603929495,0.547299241,0.98136063,0.144025624,0.917675908
905133,0.007373,0.43132576,0.761218643,0.191119055,0.995942911,0.025389989,0.701910553,0.450530964,0.415236407,0.537528742,0.359936629,0.004262146,0.544364023,0.331605564,0.986844152,0.424045806,0.559988112,0.793050308,0.22894582,0.577687847,0.605034273,0.553877612,0.982696897,0.149791694,0.924181764
905152,0.01091204,0.432341517,0.760531518,0.191709035,0.994252457,0.024338333,0.705328059,0.447394285,0.420662055,0.536825229,0.36283025,0.005291765,0.547492804,0.338047189,0.982399609,0.423314422,0.55599716,0.792898727,0.228090345,0.575930907,0.605742336,0.562175615,0.984225835,0.154714601,0.931563407
905172,0.01511465,0.434090143,0.759421546,0.192368426,0.993189886,0.022610612,0.709885541,0.443154242,0.427394088,0.534755418,0.367447929,0.005650935,0.551005382,0.345518655,0.978632859,0.423753252,0.55075137,0.79233451,0.227891187,0.570122147,0.605508826,0.573550194,0.986196052,0.161591383,0.940946852
905192,0.01275529,0.435104434,0.759220694,0.190320845,0.988166824,0.027167789,0.714695274,0.440028304,0.427159682,0.535162715,0.369064815,0.00696789,0.555540028,0.351840927,0.970971577,0.433052273,0.55148729,0.790119749,0.232145929,0.563351018,0.605094534,0.584899761,0.984673329,0.169760811,0.959963968
905212,0.01540957,0.436611213,0.759326406,0.189453227,0.986717863,0.026316448,0.718707023,0.436608751,0.431950718,0.532359769,0.373305065,0.007758063,0.558764757,0.357985875,0.966688149,0.434807594,0.546397175,0.789951326,0.230326348,0.559161012,0.6065433,0.59695594,0.985071102,0.17498108,0.971724552
905227,0.02322495,0.438609014,0.759738681,0.189730865,0.988818856,0.020056589,0.72192564,0.432893364,0.441780916,0.52634658,0.380177997,0.008069344,0.560683743,0.36396032,0.965804796,0.429029663,0.535438568,0.791818013,0.222414339,0.55758174,0.609872699,0.609699971,0.987395585,0.177279711,0.976103493
905233,0.0339158,0.44110077,0.759907819,0.191327283,0.994107561,0.009389789,0.724804688,0.42848861,0.455923618,0.5176045,0.389529845,0.007758063,0.56169121,0.369590348,0.967932621,0.417776803,0.518823754,0.795102261,0.210003168,0.555805059,0.613679162,0.623632111,0.992423677,0.176159826,0.97547793
