TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
76027,0,1,0,1,0,1,0,0,0,1,1,0.423307294,1,0,1,1,1,0,0,1,0,0,1,1,1
76567,0.02053587,0.979919022,0.017647727,0.9802752,0.016623416,0.982325828,0.007814154,0.019624194,0.019321275,0.99134916,0.977479432,0.446253522,0.982576434,0.009299133,0.988180329,0.980706155,0.978987732,0.01283375,0.015963396,0.979943399,0.01361865,0.01396931,0.977531162,0.992398213,0.986626837
77489,0.040296801,0.961472543,0.034484437,0.961415162,0.032118545,0.965484065,0.01783536,0.038282852,0.037891245,0.982326811,0.955977381,0.468963539,0.966335306,0.018238478,0.976829121,0.962211195,0.958956581,0.026134183,0.031490103,0.960789139,0.027656335,0.027604883,0.956642636,0.984409895,0.974318895
77492,0.05908906,0.944193562,0.050583121,0.943296348,0.047049532,0.949203694,0.028393416,0.055982244,0.055752438,0.973118708,0.935380681,0.490306906,0.950720174,0.027122472,0.96574818,0.944334242,0.939538629,0.039317944,0.046555861,0.942619253,0.041624181,0.040930556,0.936897617,0.976292733,0.962445147
77494,0.077300114,0.92766178,0.066251967,0.92581581,0.061303547,0.933581507,0.039786572,0.07252174,0.07294738,0.964361722,0.915576161,0.510435472,0.935974482,0.035729705,0.954937505,0.927256174,0.921183555,0.051218331,0.060966586,0.925146631,0.055103153,0.053684108,0.917994247,0.968433259,0.951034539
77508,0.094929965,0.911643698,0.081474753,0.90889119,0.075106247,0.918520712,0.051358679,0.088033004,0.089518598,0.956029317,0.896526099,0.529281749,0.921993896,0.044143207,0.944307009,0.910841332,0.903850478,0.061893678,0.074698018,0.908166195,0.068121185,0.065913214,0.899921872,0.960745576,0.939959707
77509,0.111784877,0.895905816,0.096478565,0.892275414,0.089021776,0.903885801,0.062632535,0.1030615,0.105735428,0.948227639,0.878079603,0.547638732,0.908361086,0.05275044,0.933658494,0.89483347,0.887743797,0.071227315,0.088017021,0.891349822,0.080294163,0.078070805,0.882378636,0.953401477,0.928798036
77511,0.128058585,0.880494833,0.111279622,0.876380273,0.10256121,0.889928432,0.07104319,0.117406597,0.121186777,0.941062833,0.860915686,0.562131975,0.895145607,0.061329997,0.922955927,0.87938332,0.872291196,0.078577554,0.100462647,0.875640868,0.090874806,0.089727789,0.865254448,0.946916337,0.918278972
77520,0.143557355,0.865690949,0.125707612,0.861082229,0.115686938,0.87647438,0.079394194,0.130673304,0.136028578,0.934242998,0.844355335,0.575697245,0.882625679,0.069771175,0.912559661,0.864641617,0.857860591,0.084469412,0.11220472,0.860506132,0.100715154,0.100884167,0.849078447,0.940431197,0.908014635
77523,0.158281186,0.851587565,0.139867966,0.846278334,0.128210914,0.863620437,0.088580299,0.143175107,0.15038841,0.9277416,0.82839855,0.589093793,0.870975191,0.077963268,0.902487716,0.850563139,0.844451985,0.089427906,0.123485843,0.845633895,0.110255193,0.11165913,0.833854185,0.933903109,0.898225016
