MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
-14.445,-3.0137,1.804,-13.508,-4.5796,-13.711,-0.55182,-0.30104,-0.60247,0.83966,-0.39677,-9.2723,-1.0065,-1.1822,-1.718,0.78929,-3.7735,-0.77258,1.9345,4.4115,1.6345,0.58911,-2.882,-0.60054,-3.1071
-14.346,-3.0084,1.7671,-13.413,-4.5517,-13.627,-0.55349,-0.29587,-0.58208,0.84311,-0.39914,-9.1889,-0.9743,-1.1699,-1.6918,0.74437,-3.6976,-0.7724,1.917,4.3105,1.5885,0.56259,-2.805,-0.5806,-2.9946
-14.25,-3.0015,1.7333,-13.32,-4.5254,-13.547,-0.55082,-0.28803,-0.55915,0.84739,-0.40358,-9.106,-0.94398,-1.1572,-1.6678,0.7004,-3.624,-0.77377,1.8986,4.2126,1.5431,0.53508,-2.7291,-0.55987,-2.8867
-14.157,-2.9946,1.7006,-13.229,-4.5009,-13.47,-0.54818,-0.27974,-0.53645,0.85221,-0.40775,-9.0254,-0.9148,-1.1453,-1.6449,0.65691,-3.5535,-0.77501,1.8813,4.1182,1.4992,0.50863,-2.6554,-0.53976,-2.7823
-14.068,-2.988,1.669,-13.139,-4.4779,-13.394,-0.54556,-0.27088,-0.51393,0.8575,-0.41178,-8.9466,-0.8867,-1.1342,-1.623,0.61379,-3.4859,-0.77622,1.8653,4.027,1.4566,0.48311,-2.5835,-0.52025,-2.6809
-13.982,-2.9822,1.6376,-13.054,-4.4549,-13.321,-0.54588,-0.26354,-0.49486,0.86197,-0.41439,-8.8708,-0.85921,-1.1236,-1.6009,0.57197,-3.4192,-0.77747,1.8504,3.9383,1.4158,0.45904,-2.514,-0.50204,-2.5814
-13.9,-2.9774,1.6065,-12.971,-4.4319,-13.248,-0.54904,-0.25765,-0.47907,0.86559,-0.41566,-8.7977,-0.83223,-1.1138,-1.5787,0.53138,-3.3535,-0.77879,1.8369,3.8521,1.3768,0.4364,-2.4469,-0.48515,-2.4839
-13.82,-2.9735,1.5756,-12.892,-4.4088,-13.177,-0.55489,-0.25313,-0.46645,0.86846,-0.41568,-8.7275,-0.80582,-1.1045,-1.5564,0.49207,-3.2889,-0.78009,1.8245,3.7683,1.3395,0.41516,-2.3822,-0.46945,-2.3883
-13.742,-2.9683,1.547,-12.813,-4.3882,-13.109,-0.55687,-0.24572,-0.45019,0.87235,-0.41751,-8.6575,-0.78076,-1.0954,-1.5364,0.45283,-3.2276,-0.782,1.8114,3.6874,1.3029,0.39298,-2.3181,-0.45302,-2.2967
-13.667,-2.9617,1.5205,-12.734,-4.3698,-13.044,-0.55492,-0.23544,-0.43011,0.87733,-0.42129,-8.5876,-0.75695,-1.0862,-1.5186,0.41364,-3.1693,-0.7845,1.7974,3.609,1.2667,0.36991,-2.2546,-0.43577,-2.2085
